Numero_Muestra,date,SW_in_Avg,SW_out_Avg,LW_in_Avg,LW_out_Avg,Rnet_Avg
10002,23/10/2019 18:30,-1.586438,-0.05746018,353.2721,374.7707,-23.02752
10003,23/10/2019 19:00,-1.799984,0.228781,345.4488,373.877,-30.45694
10004,23/10/2019 19:30,-1.553465,0.4181934,343.4622,373.638,-32.14746
10005,23/10/2019 20:00,-1.543161,0.3469007,345.3726,374.0037,-30.52123
10006,23/10/2019 20:30,-1.891831,0.3564815,339.7685,373.4897,-35.9695
10007,23/10/2019 21:00,-1.749457,0.4820392,341.0054,373.2857,-34.5118
10008,23/10/2019 21:30,-1.871199,0.8129861,336.7112,373.5556,-39.52865
10009,23/10/2019 22:00,-2.236347,1.123702,326.2568,373.3615,-50.46479
10010,23/10/2019 22:30,-2.141425,1.749383,324.3525,373.8717,-53.41004
10011,23/10/2019 23:00,-1.923773,0.8597907,343.5946,375.6812,-34.87016
10012,23/10/2019 23:30,-3.234726,0.3053868,325.282,373.3353,-51.59347
10013,24/10/2019 0:00,-3.480188,0.8140091,312.5135,370.4905,-62.27115
10014,24/10/2019 0:30,-3.271912,1.507821,311.3885,369.4277,-62.81895
10015,24/10/2019 1:00,-4.038319,1.128997,303.3508,368.3149,-70.13145
10016,24/10/2019 1:30,-4.625368,0.7523314,305.2838,363.8962,-63.99017
10017,24/10/2019 2:00,-12.72391,-6.758206,310.4926,363.2537,-58.72681
10018,24/10/2019 2:30,-6.28731,-1.757946,304.3153,370.2132,-70.42719
10019,24/10/2019 3:00,-3.470175,1.506836,299.5674,369.2095,-74.61913
10020,24/10/2019 3:30,-3.762165,1.229112,299.6335,368.5939,-73.95165
10021,24/10/2019 4:00,-3.993212,1.897395,295.1179,366.7971,-77.56982
10022,24/10/2019 4:30,-3.945822,1.565403,295.4164,365.6861,-75.78088
10023,24/10/2019 5:00,-3.697231,1.388761,296.3726,366.0657,-74.77908
10024,24/10/2019 5:30,-4.030483,1.303643,294.1789,364.873,-76.02823
10025,24/10/2019 6:00,-4.019219,1.481408,293.2971,362.7084,-74.91192
10026,24/10/2019 6:30,-3.429141,1.581428,293.9817,363.6741,-74.70295
10027,24/10/2019 7:00,7.323647,3.218261,295.3024,364.3037,-64.8959
10028,24/10/2019 7:30,58.60698,8.242717,288.4445,358.3085,-19.49976
10029,24/10/2019 8:00,136.1101,18.13273,289.1219,361.5611,45.5382
10030,24/10/2019 8:30,224.0502,30.39592,291.6234,368.6468,116.6309
10031,24/10/2019 9:00,317.045,41.62784,295.3185,377.1692,193.5664
10032,24/10/2019 9:30,408.1375,56.06753,299.0155,386.8828,264.2027
10033,24/10/2019 10:00,477.3462,64.01392,304.8546,397.4904,320.6965
10034,24/10/2019 10:30,520.4597,66.31181,311.6583,406.4575,359.3485
10035,24/10/2019 11:00,574.7136,73.06644,315.7551,413.4022,404
10036,24/10/2019 11:30,611.6558,76.67292,319.4118,418.9526,435.442
10037,24/10/2019 12:00,634.1042,78.98904,322.1285,422.3419,454.9018
10038,24/10/2019 12:30,637.8964,79.34126,324.7697,426.7237,456.6011
10039,24/10/2019 13:00,626.3883,76.81351,326.9471,427.9644,448.5575
10040,24/10/2019 13:30,603.9113,73.30334,328.5619,428.3878,430.782
10041,24/10/2019 14:00,562.9503,67.31099,330.6328,428.1908,398.0812
10042,24/10/2019 14:30,510.3493,59.67013,331.8068,425.9847,356.5013
10043,24/10/2019 15:00,445.0606,51.16101,332.8757,423.0557,303.7195
10044,24/10/2019 15:30,368.643,40.9595,333.6395,419.5397,241.7833
10045,24/10/2019 16:00,282.5237,29.40639,332.9031,414.4269,171.5935
10046,24/10/2019 16:30,194.7371,17.70399,335.9694,409.9902,103.0123
10047,24/10/2019 17:00,100.6799,8.10985,331.9055,404.7878,19.68768
10048,24/10/2019 17:30,25.44347,2.898205,330.6892,398.9698,-45.73536
10049,24/10/2019 18:00,-3.329545,1.320063,328.4955,391.6823,-67.83651
10050,24/10/2019 18:30,-3.88965,1.725434,326.1416,386.6601,-66.13357
10051,24/10/2019 19:00,-3.633964,2.067993,324.9271,383.8616,-64.63648
10052,24/10/2019 19:30,-3.643354,1.458494,322.0956,380.8819,-63.88812
10053,24/10/2019 20:00,-3.151559,2.141536,321.3969,378.669,-62.56519
10054,24/10/2019 20:30,-3.034093,1.972439,320.9224,376.6921,-60.77629
10055,24/10/2019 21:00,-4.267694,0.6915559,318.3342,373.7626,-60.38768
10056,24/10/2019 21:30,-2.974506,0.9182084,316.1581,370.9764,-58.71101
10057,24/10/2019 22:00,-2.650731,1.656643,314.5496,369.9672,-59.72496
10058,24/10/2019 22:30,-5.05934,-0.1723876,312.0604,368.0648,-60.8914
10059,24/10/2019 23:00,-14.14593,-10.1588,313.3426,367.7129,-58.35738
10060,24/10/2019 23:30,-16.60815,-11.43572,312.9608,367.368,-59.57967
10061,25/10/2019 0:00,-19.95561,-11.85831,311.9084,366.4882,-62.67712
10062,25/10/2019 0:30,-21.44561,-12.5375,309.4958,364.6469,-64.05924
10063,25/10/2019 1:00,-20.59117,-13.51907,307.5319,363.7087,-63.24889
10064,25/10/2019 1:30,-17.62531,-12.83156,307.1732,362.5057,-60.12622
10065,25/10/2019 2:00,-15.32738,-10.60029,306.6591,362.394,-60.46191
10066,25/10/2019 2:30,-16.85026,-10.50575,304.2327,360.6216,-62.73342
10067,25/10/2019 3:00,-19.37199,-13.24109,302.3163,359.4477,-63.26223
10068,25/10/2019 3:30,-16.04094,-11.08502,301.5652,359.0592,-62.44996
10069,25/10/2019 4:00,-14.5205,-9.767628,300.2845,358.5767,-63.04512
10070,25/10/2019 4:30,-14.62477,-9.73895,300.0531,357.9516,-62.7843
10071,25/10/2019 5:00,-16.95138,-11.9985,298.4332,356.4767,-62.99639
10072,25/10/2019 5:30,-16.96702,-12.47435,297.5378,355.3185,-62.27331
10073,25/10/2019 6:00,-15.02983,-10.07675,296.5325,356.0288,-64.4494
10074,25/10/2019 6:30,-14.59078,-9.361834,294.9247,355.8787,-66.18297
10075,25/10/2019 7:00,-2.124325,-6.904355,306.4995,357.1058,-45.8263
10076,25/10/2019 7:30,46.92934,0.2469351,296.1725,359.867,-17.01213
10077,25/10/2019 8:00,134.2198,12.18767,297.0853,364.8381,54.27938
10078,25/10/2019 8:30,226.9436,28.13544,300.3812,373.5177,125.6716
10079,25/10/2019 9:00,321.2814,45.26509,304.0074,381.3312,198.6924
10080,25/10/2019 9:30,404.3253,55.76776,307.4502,388.3752,267.6325
10081,25/10/2019 10:00,477.7239,64.99523,310.646,396.2942,327.0805
10082,25/10/2019 10:30,539.0504,72.69757,314.2763,404.3503,376.2789
10083,25/10/2019 11:00,587.9626,78.50275,318.4783,413.306,414.6322
10084,25/10/2019 11:30,594.0524,77.59736,321.7149,418.904,419.2659
10085,25/10/2019 12:00,642.7054,84.07058,325.2557,424.7895,459.101
10086,25/10/2019 12:30,638.2321,82.26181,328.5464,429.7505,454.7661
10087,25/10/2019 13:00,634.9717,80.6827,331.3294,433.9526,451.6657
10088,25/10/2019 13:30,611.2505,76.24229,332.9155,435.6091,432.3146
10089,25/10/2019 14:00,570.5403,70.37548,334.8022,436.3345,398.6325
10090,25/10/2019 14:30,517.2079,62.38815,335.8484,435.8924,354.7757
10091,25/10/2019 15:00,450.7383,52.87719,336.5518,433.5013,300.9117
10092,25/10/2019 15:30,368.393,41.941,337.2454,430.5759,233.1215
10093,25/10/2019 16:00,275.9333,29.5636,336.6788,426.1368,156.9116
10094,25/10/2019 16:30,187.8121,18.51883,336.421,421.1467,84.56754
10095,25/10/2019 17:00,102.4339,8.87025,335.0864,415.3858,13.2643
10096,25/10/2019 17:30,24.36462,3.207229,333.451,407.1833,-52.57494
10097,25/10/2019 18:00,-3.032074,1.177334,330.603,398.529,-72.13536
10098,25/10/2019 18:30,-3.491275,2.022012,328.9803,395.1073,-71.64024
10099,25/10/2019 19:00,-4.306203,1.223317,327.0375,392.9133,-71.40532
10100,25/10/2019 19:30,-4.578439,0.8180321,324.2718,387.8194,-68.94407
10101,25/10/2019 20:00,-3.300836,1.849894,322.5415,385.7949,-68.4041
10102,25/10/2019 20:30,-3.412368,1.730829,321.3338,385.3298,-69.1392
10103,25/10/2019 21:00,-3.31346,1.780878,320.7338,384.0539,-68.41448
10104,25/10/2019 21:30,-3.359921,1.790482,320.6512,382.9209,-67.42006
10105,25/10/2019 22:00,-3.335282,1.857562,319.7275,382.0325,-67.49788
10106,25/10/2019 22:30,-3.792164,1.362859,318.1365,379.2197,-66.23817
10107,25/10/2019 23:00,-3.473609,1.711877,317.1501,377.8714,-65.90671
10108,25/10/2019 23:30,-3.516937,1.627832,315.109,377.0255,-67.06128
10109,26/10/2019 0:00,-3.413855,1.512949,314.2823,374.8764,-65.52084
10110,26/10/2019 0:30,-3.150964,1.654506,313.4261,374.0285,-65.40781
10111,26/10/2019 1:00,-3.473868,1.689658,312.2968,372.2646,-65.13136
10112,26/10/2019 1:30,-2.296035,2.719718,312.3452,372.756,-65.42654
10113,26/10/2019 2:00,-2.754032,2.178129,312.1385,374.2542,-67.0479
10114,26/10/2019 2:30,-3.73498,1.326889,309.7236,373.1976,-68.53584
10115,26/10/2019 3:00,-4.325023,1.288596,306.2293,368.8566,-68.24099
10116,26/10/2019 3:30,-2.939833,1.911134,305.5791,369.8569,-69.12886
10117,26/10/2019 4:00,-3.3102,1.53979,305.7872,370.354,-69.41681
10118,26/10/2019 4:30,-3.139011,1.792013,306.2794,369.74,-68.39156
10119,26/10/2019 5:00,-3.544458,1.384464,305.6715,368.1366,-67.39396
10120,26/10/2019 5:30,-3.643478,1.474915,303.2263,365.0802,-66.97227
10121,26/10/2019 6:00,-9.628817,-4.622781,303.4052,364.2735,-65.87434
10122,26/10/2019 6:30,-13.39852,-8.444419,303.5289,364.4212,-65.84647
10123,26/10/2019 7:00,-5.089948,-8.22193,309.6449,363.7183,-50.94137
10124,26/10/2019 7:30,43.49334,-0.9428653,301.7535,364.9969,-18.80728
10125,26/10/2019 8:00,133.3695,18.32993,304.4084,373.595,45.85295
10126,26/10/2019 8:30,225.473,35.05099,307.9633,382.5211,115.8643
10127,26/10/2019 9:00,312.6375,46.14359,311.3444,390.6662,187.1721
10128,26/10/2019 9:30,395.0991,55.85575,313.5515,396.7613,256.0335
10129,26/10/2019 10:00,470.039,65.26909,318.7886,403.9685,319.59
10130,26/10/2019 10:30,530.3733,72.44252,320.3921,411.8173,366.5055
10131,26/10/2019 11:00,576.9376,77.59914,324.0921,419.2256,404.2048
10132,26/10/2019 11:30,610.0388,80.65607,327.807,426.3624,430.8273
10133,26/10/2019 12:00,632.5695,82.74714,331.61,434.0033,447.4291
10134,26/10/2019 12:30,639.2852,82.27235,335.2531,439.7541,452.5118
10135,26/10/2019 13:00,628.3346,79.78484,337.7046,442.8976,443.3567
10136,26/10/2019 13:30,604.852,75.79812,341.349,446.5092,423.8936
10137,26/10/2019 14:00,561.8803,69.08369,344.7276,447.5262,389.998
10138,26/10/2019 14:30,509.9188,61.19952,346.516,447.1334,348.102
10139,26/10/2019 15:00,442.2507,52.1333,348.0389,445.5891,292.5672
10140,26/10/2019 15:30,364.3496,41.21912,349.2245,442.486,229.8689
10141,26/10/2019 16:00,275.3995,28.90954,350.09,437.6953,158.8846
10142,26/10/2019 16:30,174.6169,16.32841,350.1873,431.7037,76.77208
10143,26/10/2019 17:00,91.13573,7.432437,348.5611,424.3783,7.88611
10144,26/10/2019 17:30,16.00545,2.234975,344.9147,414.8901,-56.20498
10145,26/10/2019 18:00,-2.665747,1.715276,341.723,406.8878,-69.54582
10146,26/10/2019 18:30,-3.800092,0.8922649,340.0051,402.2885,-66.97575
10147,26/10/2019 19:00,-4.783268,0.153173,335.6511,396.6447,-65.93004
10148,26/10/2019 19:30,-3.990669,1.18291,331.9767,391.498,-64.69495
10149,26/10/2019 20:00,-4.273291,1.530777,327.4448,387.083,-65.44226
10150,26/10/2019 20:30,-3.052395,2.566924,324.7976,383.8315,-64.65329
10151,26/10/2019 21:00,-3.800139,1.09042,323.0981,382.2778,-64.0703
10152,26/10/2019 21:30,-2.786517,1.770282,322.4447,380.1072,-62.21935
10153,26/10/2019 22:00,-3.262098,2.112934,321.1613,377.1831,-61.39682
10154,26/10/2019 22:30,-3.265268,2.140647,317.4103,373.8613,-61.85687
10155,26/10/2019 23:00,-2.213396,2.575915,315.9205,371.4197,-60.28847
10156,26/10/2019 23:30,-1.556414,1.457693,315.3601,370.2131,-57.86709
10157,27/10/2019 0:00,-2.237305,0.9491621,315.1714,369.3474,-57.36247
10158,27/10/2019 0:30,-3.377167,0.7746683,314.5063,368.035,-57.68051
10159,27/10/2019 1:00,-3.260645,1.963295,312.7273,365.2151,-57.71173
10160,27/10/2019 1:30,-3.211238,1.613239,311.287,363.0692,-56.60665
10161,27/10/2019 2:00,-13.7325,-8.064342,311.7445,362.7025,-56.62619
10162,27/10/2019 2:30,-17.68964,-14.59624,311.5957,363.1707,-54.66845
10163,27/10/2019 3:00,-16.00872,-12.04691,311.5446,363.8859,-56.30303
10164,27/10/2019 3:30,-14.95112,-12.23831,310.8312,363.5425,-55.42406
10165,27/10/2019 4:00,-13.16323,-9.606467,310.9957,364.3539,-56.91492
10166,27/10/2019 4:30,-12.34626,-8.831773,315.5877,364.8539,-52.7807
10167,27/10/2019 5:00,-11.58411,-7.567634,326.6617,367.3741,-44.7289
10168,27/10/2019 5:30,-2.992697,-0.2724365,334.8961,370.6649,-38.48915
10169,27/10/2019 6:00,-2.931711,1.148226,317.3233,368.0204,-54.77707
10170,27/10/2019 6:30,-2.596498,1.815471,312.3426,365.6681,-57.73742
10171,27/10/2019 7:00,10.94836,4.005559,323.9915,368.7575,-37.82323
10172,27/10/2019 7:30,60.9809,10.53424,322.8035,372.0297,1.220515
10173,27/10/2019 8:00,62.38189,8.924926,315.8326,374.3385,-5.049008
10174,27/10/2019 8:30,115.5173,17.16503,311.0643,375.9845,33.43217
10175,27/10/2019 9:00,319.6158,46.30777,316.4001,388.5677,201.1404
10176,27/10/2019 9:30,464.5372,64.27102,341.6026,401.4893,340.3795
10177,27/10/2019 10:00,191.5143,23.61345,350.7757,399.0132,119.6633
10178,27/10/2019 10:30,444.4888,59.8188,346.1688,408.9763,321.8625
10179,27/10/2019 11:00,401.6039,52.55661,335.391,410.3029,274.1354
10180,27/10/2019 11:30,606.6103,79.56505,329.8156,423.7953,433.0655
10181,27/10/2019 12:00,605.2815,77.51091,331.79,428.3533,431.2072
10182,27/10/2019 12:30,640.6302,80.95242,335.0412,435.3229,459.3961
10183,27/10/2019 13:00,611.6904,75.58714,339.0947,439.3246,435.8734
10184,27/10/2019 13:30,571.5758,70.97697,347.755,441.6121,406.7418
10185,27/10/2019 14:00,382.1891,48.1396,361.864,436.711,259.2025
10186,27/10/2019 14:30,388.2975,48.09093,358.429,438.7634,259.8721
10187,27/10/2019 15:00,220.7467,27.88958,365.2977,431.646,126.5088
10188,27/10/2019 15:30,425.8489,49.93861,359.7291,439.8047,295.8347
10189,27/10/2019 16:00,185.1007,20.06463,355.1473,430.8257,89.35771
10190,27/10/2019 16:30,132.2588,15.71246,365.0254,427.3938,54.1779
10191,27/10/2019 17:00,41.7004,5.83737,368.905,420.9464,-16.17834
10192,27/10/2019 17:30,4.401528,1.036794,366.9326,412.5034,-42.20614
10193,27/10/2019 18:00,-2.847415,0.644479,363.6069,407.4515,-47.33654
10194,27/10/2019 18:30,-2.173401,0.7062259,371.5039,405.2807,-36.65644
10195,27/10/2019 19:00,-1.832255,0.6584218,373.6393,403.9639,-32.81525
10196,27/10/2019 19:30,-1.948896,0.4967656,372.1093,402.4915,-32.82786
10197,27/10/2019 20:00,-2.400611,0.2712591,370.0647,401.1389,-33.74609
10198,27/10/2019 20:30,-2.236683,1.257391,362.6803,398.0823,-38.89603
10199,27/10/2019 21:00,-1.927335,1.090382,359.6245,396.75,-40.14333
10200,27/10/2019 21:30,-1.655114,1.354219,364.7305,394.8268,-33.10573
10201,27/10/2019 22:00,-1.370481,1.003156,371.9505,396.166,-26.58916
10202,27/10/2019 22:30,-1.923235,0.2223369,374.1765,395.3071,-23.27615
10203,27/10/2019 23:00,-2.500707,-0.4872122,371.252,392.9251,-23.68659
10204,27/10/2019 23:30,-2.008801,-0.252117,371.6223,391.524,-21.65832
10205,28/10/2019 0:00,-0.5723373,0.9382788,372.8462,391.6422,-20.30664
10206,28/10/2019 0:30,-1.843855,-0.3404282,373.8116,392.1931,-19.88493
10207,28/10/2019 1:00,-2.066619,-0.05532362,370.3193,390.9517,-22.64377
10208,28/10/2019 1:30,-1.398354,0.9425324,366.6205,389.9872,-25.70767
10209,28/10/2019 2:00,-1.028154,1.021271,366.0988,389.6501,-25.60072
10210,28/10/2019 2:30,-3.013345,-0.4840516,356.5921,387.268,-33.20525
10211,28/10/2019 3:00,-3.111183,0.3670096,348.7946,384.3909,-39.07448
10212,28/10/2019 3:30,-6.862854,-2.979741,343.4247,383.7554,-44.21383
10213,28/10/2019 4:00,-3.604208,-0.4553167,344.4258,382.4586,-41.18175
10214,28/10/2019 4:30,-2.555546,1.763894,331.3701,379.5447,-52.49405
10215,28/10/2019 5:00,-1.267481,2.519273,333.6713,378.2025,-48.31795
10216,28/10/2019 5:30,-3.964407,0.2840934,328.4242,376.0763,-51.90058
10217,28/10/2019 6:00,-16.90911,-11.98423,331.2734,375.3885,-49.03997
10218,28/10/2019 6:30,-21.02864,-15.72419,330.3521,375.1423,-50.09468
10219,28/10/2019 7:00,-15.56991,-14.88398,340.8264,375.3711,-35.23067
10220,28/10/2019 7:30,22.66547,-10.17798,343.1849,380.2567,-4.228358
10221,28/10/2019 8:00,117.726,7.808492,340.0297,388.532,61.4152
10222,28/10/2019 8:30,196.2334,27.53343,328.4479,393.245,103.9029
10223,28/10/2019 9:00,283.3921,39.7578,331.6141,402.048,173.2003
10224,28/10/2019 9:30,364.7399,49.484,337.4334,410.2697,242.4196
10225,28/10/2019 10:00,325.5332,41.3775,372.2845,415.2874,241.1527
10226,28/10/2019 10:30,503.5852,66.62944,350.1214,424.8446,362.2326
10227,28/10/2019 11:00,507.7018,65.34588,351.0792,429.9135,363.5216
10228,28/10/2019 11:30,543.1752,69.30238,349.9846,432.4855,391.3719
10229,28/10/2019 12:00,597.959,75.4451,348.8361,436.7609,434.5891
10230,28/10/2019 12:30,601.9354,76.15664,346.5409,437.8366,434.4831
10231,28/10/2019 13:00,539.58,66.85155,350.3732,437.2838,385.8178
10232,28/10/2019 13:30,503.7556,61.98967,352.8939,436.9914,357.6685
10233,28/10/2019 14:00,511.9743,62.23972,348.6701,435.2065,363.1982
